Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.000000e-12
Record Length,1000
Zero Index,310.546875
Vertical Units,V

TIME,CH1
-1.242188e-09,7.515625e-03
-1.238188e-09,6.625000e-03
-1.234187e-09,7.750000e-03
-1.230187e-09,7.468750e-03
-1.226187e-09,7.156250e-03
-1.222187e-09,6.453125e-03
-1.218187e-09,6.750000e-03
-1.214187e-09,6.218750e-03
-1.210187e-09,6.109375e-03
-1.206187e-09,6.390625e-03
-1.202187e-09,6.468750e-03
-1.198188e-09,6.140625e-03
-1.194188e-09,5.609375e-03
-1.190188e-09,5.468750e-03
-1.186188e-09,5.750000e-03
-1.182188e-09,5.218750e-03
-1.178188e-09,5.703125e-03
-1.174187e-09,5.781250e-03
-1.170187e-09,5.875000e-03
-1.166187e-09,4.531250e-03
-1.162187e-09,5.234375e-03
-1.158187e-09,4.312500e-03
-1.154187e-09,5.437500e-03
-1.150187e-09,5.140625e-03
-1.146187e-09,4.843750e-03
-1.142187e-09,4.140625e-03
-1.138188e-09,4.468750e-03
-1.134188e-09,4.000000e-03
-1.130188e-09,3.937500e-03
-1.126188e-09,4.281250e-03
-1.122188e-09,4.421875e-03
-1.118188e-09,4.171875e-03
-1.114187e-09,3.718750e-03
-1.110187e-09,3.687500e-03
-1.106187e-09,4.062500e-03
-1.102187e-09,3.625000e-03
-1.098187e-09,4.218750e-03
-1.094187e-09,4.390625e-03
-1.090187e-09,4.578125e-03
-1.086187e-09,3.359375e-03
-1.082187e-09,4.156250e-03
-1.078188e-09,3.328125e-03
-1.074188e-09,4.546875e-03
-1.070188e-09,4.343750e-03
-1.066188e-09,4.125000e-03
-1.062188e-09,3.515625e-03
-1.058188e-09,3.906250e-03
-1.054187e-09,3.500000e-03
-1.050187e-09,3.484375e-03
-1.046187e-09,3.875000e-03
-1.042187e-09,4.062500e-03
-1.038187e-09,3.843750e-03
-1.034187e-09,3.421875e-03
-1.030187e-09,3.406250e-03
-1.026187e-09,3.781250e-03
-1.022187e-09,3.343750e-03
-1.018188e-09,3.921875e-03
-1.014188e-09,4.078125e-03
-1.010188e-09,4.234375e-03
-1.006188e-09,2.984375e-03
-1.002188e-09,3.750000e-03
-9.981875e-10,2.890625e-03
-9.941875e-10,4.046875e-03
-9.901875e-10,3.781250e-03
-9.861875e-10,3.531250e-03
-9.821875e-10,2.859375e-03
-9.781875e-10,3.218750e-03
-9.741875e-10,2.750000e-03
-9.701875e-10,2.687500e-03
-9.661875e-10,3.046875e-03
-9.621875e-10,3.187500e-03
-9.581875e-10,2.937500e-03
-9.541875e-10,2.484375e-03
-9.501875e-10,2.437500e-03
-9.461875e-10,2.812500e-03
-9.421875e-10,2.375000e-03
-9.381875e-10,2.953125e-03
-9.341875e-10,3.125000e-03
-9.301875e-10,3.312500e-03
-9.261875e-10,2.093750e-03
-9.221875e-10,2.906250e-03
-9.181875e-10,2.109375e-03
-9.141875e-10,3.296875e-03
-9.101875e-10,3.140625e-03
-9.061875e-10,2.968750e-03
-9.021875e-10,2.406250e-03
-8.981875e-10,2.859375e-03
-8.941875e-10,2.515625e-03
-8.901875e-10,2.593750e-03
-8.861875e-10,3.078125e-03
-8.821875e-10,3.359375e-03
-8.781875e-10,3.265625e-03
-8.741875e-10,2.968750e-03
-8.701875e-10,3.062500e-03
-8.661875e-10,3.593750e-03
-8.621875e-10,3.312500e-03
-8.581875e-10,4.031250e-03
-8.541875e-10,4.375000e-03
-8.501875e-10,4.703125e-03
-8.461875e-10,3.656250e-03
-8.421875e-10,4.609375e-03
-8.381875e-10,3.937500e-03
-8.341875e-10,5.203125e-03
-8.301875e-10,5.171875e-03
-8.261875e-10,5.109375e-03
-8.221875e-10,4.671875e-03
-8.181875e-10,5.203125e-03
-8.141875e-10,4.906250e-03
-8.101875e-10,5.062500e-03
-8.061875e-10,5.578125e-03
-8.021875e-10,5.875000e-03
-7.981875e-10,5.812500e-03
-7.941875e-10,5.500000e-03
-7.901875e-10,5.578125e-03
-7.861875e-10,6.046875e-03
-7.821875e-10,5.718750e-03
-7.781875e-10,6.375000e-03
-7.741875e-10,6.625000e-03
-7.701875e-10,6.843750e-03
-7.661875e-10,5.687500e-03
-7.621875e-10,6.515625e-03
-7.581875e-10,5.718750e-03
-7.541875e-10,6.781250e-03
-7.501875e-10,6.609375e-03
-7.461875e-10,6.375000e-03
-7.421875e-10,5.781250e-03
-7.381875e-10,6.109375e-03
-7.341875e-10,5.609375e-03
-7.301875e-10,5.593750e-03
-7.261875e-10,5.906250e-03
-7.221875e-10,6.000000e-03
-7.181875e-10,5.796875e-03
-7.141875e-10,5.265625e-03
-7.101875e-10,5.156250e-03
-7.061875e-10,5.437500e-03
-7.021875e-10,4.937500e-03
-6.981875e-10,5.421875e-03
-6.941875e-10,5.515625e-03
-6.901875e-10,5.593750e-03
-6.861875e-10,4.296875e-03
-6.821875e-10,5.015625e-03
-6.781875e-10,4.156250e-03
-6.741875e-10,5.093750e-03
-6.701875e-10,4.875000e-03
-6.661875e-10,4.625000e-03
-6.621875e-10,4.000000e-03
-6.581875e-10,4.281250e-03
-6.541875e-10,3.765625e-03
-6.501875e-10,3.796875e-03
-6.461875e-10,4.140625e-03
-6.421875e-10,4.250000e-03
