Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.000000e-12
Record Length,1000
Zero Index,310.750000
Vertical Units,V

TIME,CH1
-1.243000e-09,6.312500e-03
-1.239000e-09,6.250000e-03
-1.235000e-09,5.765625e-03
-1.231000e-09,6.296875e-03
-1.227000e-09,6.015625e-03
-1.223000e-09,6.125000e-03
-1.219000e-09,6.625000e-03
-1.215000e-09,6.921875e-03
-1.211000e-09,6.781250e-03
-1.207000e-09,6.437500e-03
-1.203000e-09,6.484375e-03
-1.199000e-09,6.921875e-03
-1.195000e-09,6.546875e-03
-1.191000e-09,7.156250e-03
-1.187000e-09,7.343750e-03
-1.183000e-09,7.515625e-03
-1.179000e-09,6.265625e-03
-1.175000e-09,7.015625e-03
-1.171000e-09,6.125000e-03
-1.167000e-09,7.265625e-03
-1.163000e-09,6.953125e-03
-1.159000e-09,6.656250e-03
-1.155000e-09,5.921875e-03
-1.151000e-09,6.203125e-03
-1.147000e-09,5.656250e-03
-1.143000e-09,5.515625e-03
-1.139000e-09,5.765625e-03
-1.135000e-09,5.812500e-03
-1.131000e-09,5.453125e-03
-1.127000e-09,4.890625e-03
-1.123000e-09,4.750000e-03
-1.119000e-09,5.000000e-03
-1.115000e-09,4.437500e-03
-1.111000e-09,4.906250e-03
-1.107000e-09,4.968750e-03
-1.103000e-09,5.046875e-03
-1.099000e-09,3.718750e-03
-1.095000e-09,4.421875e-03
-1.091000e-09,3.515625e-03
-1.087000e-09,4.656250e-03
-1.083000e-09,4.390625e-03
-1.079000e-09,4.140625e-03
-1.075000e-09,3.515625e-03
-1.071000e-09,3.906250e-03
-1.067000e-09,3.500000e-03
-1.063000e-09,3.531250e-03
-1.059000e-09,3.968750e-03
-1.055000e-09,4.234375e-03
-1.051000e-09,4.109375e-03
-1.047000e-09,3.812500e-03
-1.043000e-09,3.921875e-03
-1.039000e-09,4.453125e-03
-1.035000e-09,4.203125e-03
-1.031000e-09,4.968750e-03
-1.027000e-09,5.343750e-03
-1.023000e-09,5.734375e-03
-1.019000e-09,4.718750e-03
-1.015000e-09,5.734375e-03
-1.011000e-09,5.125000e-03
-1.007000e-09,6.562500e-03
-1.003000e-09,6.578125e-03
-9.990000e-10,6.609375e-03
-9.950000e-10,6.218750e-03
-9.910000e-10,6.859375e-03
-9.870000e-10,6.671875e-03
-9.830000e-10,6.890625e-03
-9.790000e-10,7.500000e-03
-9.750000e-10,7.906250e-03
-9.710000e-10,7.890625e-03
-9.670000e-10,7.671875e-03
-9.630000e-10,7.828125e-03
-9.590000e-10,8.390625e-03
-9.550000e-10,8.125000e-03
-9.510000e-10,8.843750e-03
-9.470000e-10,9.140625e-03
-9.430000e-10,9.421875e-03
-9.390000e-10,8.281250e-03
-9.350000e-10,9.125000e-03
-9.310000e-10,8.343750e-03
-9.270000e-10,9.515625e-03
-9.230000e-10,9.296875e-03
-9.190000e-10,9.062500e-03
-9.150000e-10,8.390625e-03
-9.110000e-10,8.718750e-03
-9.070000e-10,8.203125e-03
-9.030000e-10,8.093750e-03
-8.990000e-10,8.359375e-03
-8.950000e-10,8.421875e-03
-8.910000e-10,8.062500e-03
-8.870000e-10,7.468750e-03
-8.830000e-10,7.281250e-03
-8.790000e-10,7.484375e-03
-8.750000e-10,6.875000e-03
-8.710000e-10,7.281250e-03
-8.670000e-10,7.265625e-03
-8.630000e-10,7.250000e-03
-8.590000e-10,5.843750e-03
-8.550000e-10,6.437500e-03
-8.510000e-10,5.421875e-03
-8.470000e-10,6.343750e-03
-8.430000e-10,5.968750e-03
-8.390000e-10,5.578125e-03
-8.350000e-10,4.812500e-03
-8.310000e-10,5.046875e-03
-8.270000e-10,4.484375e-03
-8.230000e-10,4.375000e-03
-8.190000e-10,4.640625e-03
-8.150000e-10,4.734375e-03
-8.110000e-10,4.484375e-03
-8.070000e-10,4.000000e-03
-8.030000e-10,3.937500e-03
-7.990000e-10,4.312500e-03
-7.950000e-10,3.890625e-03
-7.910000e-10,4.500000e-03
-7.870000e-10,4.734375e-03
-7.830000e-10,4.968750e-03
-7.790000e-10,3.859375e-03
-7.750000e-10,4.750000e-03
-7.710000e-10,4.046875e-03
-7.670000e-10,5.234375e-03
-7.630000e-10,5.203125e-03
-7.590000e-10,5.140625e-03
-7.550000e-10,4.734375e-03
-7.510000e-10,5.265625e-03
-7.470000e-10,5.000000e-03
-7.430000e-10,5.218750e-03
-7.390000e-10,5.781250e-03
-7.350000e-10,6.125000e-03
-7.310000e-10,6.187500e-03
-7.270000e-10,5.921875e-03
-7.230000e-10,6.078125e-03
-7.190000e-10,6.625000e-03
-7.150000e-10,6.375000e-03
-7.110000e-10,7.109375e-03
-7.070000e-10,7.453125e-03
-7.030000e-10,7.765625e-03
-6.990000e-10,6.687500e-03
-6.950000e-10,7.593750e-03
-6.910000e-10,6.906250e-03
-6.870000e-10,8.015625e-03
-6.830000e-10,7.921875e-03
-6.790000e-10,7.765625e-03
-6.750000e-10,7.218750e-03
-6.710000e-10,7.562500e-03
-6.670000e-10,7.093750e-03
-6.630000e-10,7.125000e-03
-6.590000e-10,7.437500e-03
-6.550000e-10,7.500000e-03
-6.510000e-10,7.343750e-03
-6.470000e-10,6.796875e-03
-6.430000e-10,6.625000e-03
