Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.000000e-12
Record Length,1000
Zero Index,310.617188
Vertical Units,V

TIME,CH1
-1.242469e-09,6.640625e-03
-1.238469e-09,6.234375e-03
-1.234469e-09,6.125000e-03
-1.230469e-09,6.000000e-03
-1.226469e-09,5.875000e-03
-1.222469e-09,5.734375e-03
-1.218469e-09,5.921875e-03
-1.214469e-09,5.515625e-03
-1.210469e-09,5.312500e-03
-1.206469e-09,5.343750e-03
-1.202469e-09,5.593750e-03
-1.198469e-09,5.281250e-03
-1.194469e-09,5.281250e-03
-1.190469e-09,5.328125e-03
-1.186469e-09,5.406250e-03
-1.182469e-09,5.531250e-03
-1.178469e-09,5.984375e-03
-1.174469e-09,5.875000e-03
-1.170469e-09,6.000000e-03
-1.166469e-09,6.343750e-03
-1.162469e-09,6.937500e-03
-1.158469e-09,6.953125e-03
-1.154469e-09,7.281250e-03
-1.150469e-09,7.640625e-03
-1.146469e-09,8.000000e-03
-1.142469e-09,8.375000e-03
-1.138469e-09,9.062500e-03
-1.134469e-09,9.125000e-03
-1.130469e-09,9.390625e-03
-1.126469e-09,9.843750e-03
-1.122469e-09,1.046875e-02
-1.118469e-09,1.048438e-02
-1.114469e-09,1.075000e-02
-1.110469e-09,1.098438e-02
-1.106469e-09,1.118750e-02
-1.102469e-09,1.134375e-02
-1.098469e-09,1.176563e-02
-1.094469e-09,1.153125e-02
-1.090469e-09,1.145313e-02
-1.086469e-09,1.153125e-02
-1.082469e-09,1.178125e-02
-1.078469e-09,1.135938e-02
-1.074469e-09,1.120313e-02
-1.070469e-09,1.101563e-02
-1.066469e-09,1.078125e-02
-1.062469e-09,1.053125e-02
-1.058469e-09,1.054688e-02
-1.054469e-09,9.937500e-03
-1.050469e-09,9.515625e-03
-1.046469e-09,9.281250e-03
-1.042469e-09,9.250000e-03
-1.038469e-09,8.609375e-03
-1.034469e-09,8.281250e-03
-1.030469e-09,7.968750e-03
-1.026469e-09,7.656250e-03
-1.022469e-09,7.375000e-03
-1.018469e-09,7.421875e-03
-1.014469e-09,6.906250e-03
-1.010469e-09,6.609375e-03
-1.006469e-09,6.546875e-03
-1.002469e-09,6.718750e-03
-9.984687e-10,6.328125e-03
-9.944687e-10,6.281250e-03
-9.904688e-10,6.265625e-03
-9.864688e-10,6.281250e-03
-9.824688e-10,6.328125e-03
-9.784688e-10,6.703125e-03
-9.744688e-10,6.500000e-03
-9.704688e-10,6.531250e-03
-9.664687e-10,6.781250e-03
-9.624687e-10,7.250000e-03
-9.584687e-10,7.125000e-03
-9.544687e-10,7.312500e-03
-9.504687e-10,7.500000e-03
-9.464687e-10,7.703125e-03
-9.424687e-10,7.890625e-03
-9.384687e-10,8.375000e-03
-9.344687e-10,8.234375e-03
-9.304688e-10,8.281250e-03
-9.264688e-10,8.531250e-03
-9.224687e-10,8.937500e-03
-9.184687e-10,8.734375e-03
-9.144687e-10,8.812500e-03
-9.104687e-10,8.859375e-03
-9.064687e-10,8.875000e-03
-9.024688e-10,8.875000e-03
-8.984688e-10,9.140625e-03
-8.944688e-10,8.781250e-03
-8.904687e-10,8.593750e-03
-8.864687e-10,8.578125e-03
-8.824687e-10,8.750000e-03
-8.784687e-10,8.296875e-03
-8.744687e-10,8.109375e-03
-8.704688e-10,7.906250e-03
-8.664688e-10,7.687500e-03
-8.624687e-10,7.453125e-03
-8.584687e-10,7.500000e-03
-8.544687e-10,6.937500e-03
-8.504687e-10,6.546875e-03
-8.464687e-10,6.343750e-03
-8.424688e-10,6.343750e-03
-8.384688e-10,5.718750e-03
-8.344688e-10,5.375000e-03
-8.304687e-10,5.046875e-03
-8.264687e-10,4.687500e-03
-8.224687e-10,4.328125e-03
-8.184687e-10,4.281250e-03
-8.144687e-10,3.609375e-03
-8.104688e-10,3.125000e-03
-8.064688e-10,2.859375e-03
-8.024687e-10,2.796875e-03
-7.984687e-10,2.125000e-03
-7.944687e-10,1.750000e-03
-7.904687e-10,1.390625e-03
-7.864687e-10,1.046875e-03
-7.824688e-10,7.187500e-04
-7.784688e-10,7.031250e-04
-7.744688e-10,1.093750e-04
-7.704687e-10,-2.656250e-04
-7.664687e-10,-4.062500e-04
-7.624687e-10,-3.125000e-04
-7.584687e-10,-7.968750e-04
-7.544687e-10,-9.218750e-04
-7.504688e-10,-1.015625e-03
-7.464688e-10,-1.062500e-03
-7.424687e-10,-1.062500e-03
-7.384687e-10,-7.031250e-04
-7.344687e-10,-8.906250e-04
-7.304687e-10,-8.281250e-04
-7.264687e-10,-5.000000e-04
-7.224688e-10,9.375000e-05
-7.184688e-10,1.250000e-04
-7.144688e-10,5.312500e-04
-7.104687e-10,9.687500e-04
-7.064687e-10,1.468750e-03
-7.024687e-10,2.015625e-03
-6.984687e-10,2.906250e-03
-6.944687e-10,3.234375e-03
-6.904688e-10,3.781250e-03
-6.864688e-10,4.562500e-03
-6.824688e-10,5.562500e-03
-6.784687e-10,5.968750e-03
-6.744687e-10,6.687500e-03
-6.704687e-10,7.390625e-03
-6.664687e-10,8.078125e-03
-6.624688e-10,8.750000e-03
-6.584688e-10,9.687500e-03
-6.544688e-10,9.984375e-03
-6.504687e-10,1.043750e-02
-6.464687e-10,1.103125e-02
