Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.000000e-11
Record Length,1000
Zero Index,-0.875000
Vertical Units,V

TIME,CH1
8.750000e-12,7.921875e-03
1.875000e-11,8.640625e-03
2.875000e-11,9.062500e-03
3.875000e-11,8.906250e-03
4.875000e-11,9.390625e-03
5.875000e-11,9.296875e-03
6.875000e-11,8.921875e-03
7.875000e-11,9.000000e-03
8.875000e-11,8.437500e-03
9.875000e-11,8.375000e-03
1.087500e-10,8.062500e-03
1.187500e-10,7.250000e-03
1.287500e-10,7.187500e-03
1.387500e-10,6.656250e-03
1.487500e-10,5.984375e-03
1.587500e-10,5.906250e-03
1.687500e-10,5.328125e-03
1.787500e-10,5.375000e-03
1.887500e-10,5.312500e-03
1.987500e-10,4.843750e-03
2.087500e-10,5.187500e-03
2.187500e-10,5.125000e-03
2.287500e-10,4.921875e-03
2.387500e-10,5.296875e-03
2.487500e-10,5.125000e-03
2.587500e-10,5.515625e-03
2.687500e-10,5.687500e-03
2.787500e-10,5.343750e-03
2.887500e-10,5.687500e-03
2.987500e-10,5.500000e-03
3.087500e-10,5.046875e-03
3.187500e-10,5.093750e-03
3.287500e-10,4.484375e-03
3.387500e-10,4.375000e-03
3.487500e-10,4.031250e-03
3.587500e-10,3.156250e-03
3.687500e-10,3.031250e-03
3.787500e-10,2.421875e-03
3.887500e-10,1.656250e-03
3.987500e-10,1.484375e-03
4.087500e-10,8.125000e-04
4.187500e-10,7.968750e-04
4.287500e-10,6.875000e-04
4.387500e-10,2.187500e-04
4.487500e-10,5.937500e-04
4.587500e-10,6.406250e-04
4.687500e-10,5.937500e-04
4.787500e-10,1.203125e-03
4.887500e-10,1.343750e-03
4.987500e-10,2.109375e-03
5.087500e-10,2.750000e-03
5.187500e-10,2.921875e-03
5.287500e-10,3.859375e-03
5.387500e-10,4.296875e-03
5.487500e-10,4.515625e-03
5.587500e-10,5.218750e-03
5.687500e-10,5.281250e-03
5.787500e-10,5.812500e-03
5.887500e-10,6.046875e-03
5.987500e-10,5.718750e-03
6.087500e-10,6.031250e-03
6.187500e-10,5.796875e-03
6.287500e-10,5.281250e-03
6.387500e-10,5.250000e-03
6.487500e-10,4.625000e-03
6.587500e-10,4.515625e-03
6.687500e-10,4.218750e-03
6.787500e-10,3.453125e-03
6.887500e-10,3.468750e-03
6.987500e-10,3.062500e-03
7.087500e-10,2.515625e-03
7.187500e-10,2.609375e-03
7.287500e-10,2.218750e-03
7.387500e-10,2.453125e-03
7.487500e-10,2.593750e-03
7.587500e-10,2.312500e-03
7.687500e-10,2.859375e-03
7.787500e-10,2.984375e-03
7.887500e-10,2.937500e-03
7.987500e-10,3.484375e-03
8.087500e-10,3.453125e-03
8.187500e-10,3.984375e-03
8.287500e-10,4.296875e-03
8.387500e-10,4.078125e-03
8.487500e-10,4.562500e-03
8.587500e-10,4.500000e-03
8.687500e-10,4.187500e-03
8.787500e-10,4.359375e-03
8.887500e-10,3.906250e-03
8.987500e-10,3.937500e-03
9.087500e-10,3.734375e-03
9.187500e-10,3.015625e-03
9.287500e-10,3.015625e-03
9.387500e-10,2.531250e-03
9.487500e-10,1.859375e-03
9.587500e-10,1.765625e-03
9.687500e-10,1.140625e-03
9.787500e-10,1.125000e-03
9.887500e-10,9.687500e-04
9.987500e-10,4.218750e-04
1.008750e-09,6.875000e-04
1.018750e-09,5.781250e-04
1.028750e-09,3.437500e-04
1.038750e-09,7.500000e-04
1.048750e-09,6.562500e-04
1.058750e-09,1.187500e-03
1.068750e-09,1.578125e-03
1.078750e-09,1.531250e-03
1.088750e-09,2.250000e-03
1.098750e-09,2.515625e-03
1.108750e-09,2.562500e-03
1.118750e-09,3.156250e-03
1.128750e-09,3.156250e-03
1.138750e-09,3.656250e-03
1.148750e-09,3.921875e-03
1.158750e-09,3.640625e-03
1.168750e-09,4.046875e-03
1.178750e-09,3.921875e-03
1.188750e-09,3.546875e-03
1.198750e-09,3.687500e-03
1.208750e-09,3.218750e-03
1.218750e-09,3.281250e-03
1.228750e-09,3.125000e-03
1.238750e-09,2.515625e-03
1.248750e-09,2.671875e-03
1.258750e-09,2.375000e-03
1.268750e-09,1.937500e-03
1.278750e-09,2.109375e-03
1.288750e-09,1.781250e-03
1.298750e-09,2.093750e-03
1.308750e-09,2.281250e-03
1.318750e-09,2.062500e-03
1.328750e-09,2.656250e-03
1.338750e-09,2.843750e-03
1.348750e-09,2.890625e-03
1.358750e-09,3.515625e-03
1.368750e-09,3.609375e-03
1.378750e-09,4.250000e-03
1.388750e-09,4.703125e-03
1.398750e-09,4.625000e-03
1.408750e-09,5.265625e-03
1.418750e-09,5.375000e-03
1.428750e-09,5.218750e-03
1.438750e-09,5.546875e-03
1.448750e-09,5.218750e-03
1.458750e-09,5.390625e-03
1.468750e-09,5.281250e-03
1.478750e-09,4.640625e-03
1.488750e-09,4.687500e-03
1.498750e-09,4.218750e-03
1.508750e-09,3.531250e-03
1.518750e-09,3.406250e-03
1.528750e-09,2.718750e-03
1.538750e-09,2.593750e-03
1.548750e-09,2.328125e-03
1.558750e-09,1.640625e-03
1.568750e-09,1.750000e-03
1.578750e-09,1.453125e-03
1.588750e-09,1.031250e-03
1.598750e-09,1.234375e-03
